#q2 [fm^(-2)], ge, dge, Author
0,    1.,    0.001, Bayesian
0.28, 0.973, 0.014, Yount
0.30, 0.959, 0.010, Lehmann
0.30, 0.974, 0.006, Drickey
0.36, 0.967, 0.040, Bumiller
0.49, 0.933, 0.009, Lehmann
0.57, 0.915, 0.037, Bumiller
0.60, 0.940, 0.007, Drickey
0.62, 0.922, 0.010, Yount
0.79, 0.920, 0.037, Bumiller
0.93, 0.848, 0.034, Bumiller
1.00, 0.881, 0.009, Lehmann
1.05, 0.884, 0.009, Lehmann
1.30, 0.867, 0.025, Yount
1.38, 0.873, 0.036, Bumiller
1.60, 0.849, 0.004, Drickey
2.00, 0.810, 0.024, Dumiller
2.00, 0.784, 0.013, Lehmann
2.20, 0.790, 0.006, Drickey
2.98, 0.725, 0.021, Lehmann
